N,perm,period,n_sample,timestep,ang_freq,time,1,2,3,4,5,6,7,8,9,10,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8,AE9,AE10
0,0.01,2,40,0.05000,1.00000,N/A,3.11E-07,2.10E-07,1.95E-07,1.87E-07,1.85E-07,1.88E-07,1.84E-07,1.88E-07,1.88E-07,1.88E-07,65.65%,11.67%,3.79%,0.62%,1.46%,0.13%,1.96%,0.29%,0.23%,0.00%
1,0.01,2.51785,40,0.06295,0.79433,N/A,3.24E-07,2.21E-07,2.12E-07,2.09E-07,2.08E-07,2.02E-07,2.02E-07,2.02E-07,2.01E-07,2.03E-07,59.65%,8.53%,4.26%,2.94%,2.53%,0.38%,0.59%,0.86%,0.98%,0.00%
2,0.01,3.16979,40,0.07924,0.63096,N/A,3.33E-07,2.37E-07,2.24E-07,2.22E-07,2.21E-07,2.26E-07,2.25E-07,2.24E-07,2.24E-07,2.23E-07,49.16%,6.23%,0.29%,0.67%,0.90%,1.09%,0.74%,0.45%,0.17%,0.00%
3,0.01,3.99052,40,0.09976,0.50119,N/A,3.36E-07,2.47E-07,2.42E-07,2.39E-07,2.38E-07,2.37E-07,2.36E-07,2.36E-07,2.35E-07,2.35E-07,42.96%,5.17%,2.96%,1.56%,1.09%,0.75%,0.46%,0.26%,0.12%,0.00%
4,0.01,5.02377,40,0.12559,0.39811,N/A,3.32E-07,2.57E-07,2.56E-07,2.51E-07,2.51E-07,2.50E-07,2.50E-07,2.49E-07,2.54E-07,2.49E-07,33.35%,3.41%,2.81%,1.04%,1.12%,0.71%,0.43%,0.26%,2.21%,0.00%
5,0.01,6.32456,40,0.15811,0.31623,N/A,3.19E-07,2.63E-07,2.59E-07,2.57E-07,2.56E-07,2.55E-07,2.55E-07,2.55E-07,2.54E-07,2.54E-07,25.57%,3.52%,1.99%,1.16%,0.70%,0.41%,0.23%,0.11%,0.03%,0.00%
6,0.01,7.96214,40,0.19905,0.25119,N/A,3.00E-07,2.60E-07,2.56E-07,2.54E-07,2.58E-07,2.54E-07,2.54E-07,2.54E-07,2.54E-07,2.54E-07,18.28%,2.33%,0.99%,0.25%,1.56%,0.31%,0.16%,0.08%,0.03%,0.00%
7,0.01,10.02374,40,0.25059,0.19953,N/A,2.75E-07,2.47E-07,2.43E-07,2.41E-07,2.41E-07,2.40E-07,2.40E-07,2.43E-07,2.43E-07,2.43E-07,13.34%,1.53%,0.03%,0.68%,0.85%,1.12%,1.24%,0.08%,0.02%,0.00%
8,0.01,12.61915,40,0.31548,0.15849,N/A,2.48E-07,2.32E-07,2.23E-07,2.21E-07,2.21E-07,2.20E-07,2.20E-07,2.20E-07,2.20E-07,2.20E-07,12.60%,5.51%,1.06%,0.43%,0.17%,0.07%,0.03%,0.01%,0.00%,0.00%
9,0.01,15.88656,40,0.39716,0.12589,N/A,2.20E-07,2.04E-07,2.04E-07,2.02E-07,2.02E-07,2.02E-07,2.02E-07,2.02E-07,2.02E-07,2.02E-07,8.87%,1.11%,0.99%,0.32%,0.10%,0.03%,0.01%,0.00%,0.00%,0.00%
10,0.01,20,40,0.50000,0.10000,N/A,1.93E-07,1.77E-07,1.74E-07,1.73E-07,1.73E-07,1.73E-07,1.73E-07,1.73E-07,1.73E-07,1.73E-07,11.63%,2.38%,1.06%,0.10%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%
11,0.01,25.17851,40,0.62946,0.07943,N/A,1.69E-07,1.53E-07,1.51E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,12.40%,2.04%,0.43%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
12,0.01,31.69786,40,0.79245,0.06310,N/A,1.48E-07,1.32E-07,1.31E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,13.16%,1.35%,0.14%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
13,0.01,39.90525,40,0.99763,0.05012,N/A,1.29E-07,1.15E-07,1.14E-07,1.14E-07,1.14E-07,1.14E-07,1.14E-07,1.14E-07,1.14E-07,1.14E-07,13.28%,0.81%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
14,0.01,50.23773,40,1.25594,0.03981,N/A,1.14E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,12.76%,0.38%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15,0.01,63.24555,40,1.58114,0.03162,N/A,9.96E-08,8.99E-08,8.98E-08,8.98E-08,8.98E-08,8.98E-08,8.98E-08,8.98E-08,8.98E-08,8.98E-08,10.90%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16,0.01,79.62143,40,1.99054,0.02512,N/A,8.67E-08,7.97E-08,7.96E-08,7.96E-08,7.96E-08,7.96E-08,7.96E-08,7.96E-08,7.96E-08,7.96E-08,8.90%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
17,0.01,100.23745,40,2.50594,0.01995,N/A,7.48E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,7.03E-08,6.43%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
18,0.01,126.19147,40,3.15479,0.01585,N/A,6.37E-08,6.11E-08,6.11E-08,6.11E-08,6.11E-08,6.11E-08,6.11E-08,6.11E-08,6.11E-08,6.11E-08,4.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
19,0.01,158.86565,40,3.97164,0.01259,N/A,5.35E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,2.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20,0.01,200,40,5.00000,0.01000,N/A,4.44E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,1.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
