field,den,n,temp,ss_val,ss_fluc,ht_val,ht_fluc,mag_val,mag_fluc
0,0.05,169,1.74E-02,0.991210938,0,0.142578125,0,-6.84E-04,6.53E-04
0,0.1,169,1.74E-02,0.993164063,0,0.141601563,0,3.65E-03,4.35E-04
0,0.15,169,1.75E-02,0.987304688,0,0.182617188,0,-6.29E-03,4.20E-04
0,0.2,169,1.74E-02,0.990234375,0,0.12890625,0,2.86E-03,4.10E-04
0,0.25,169,1.74E-02,0.985351563,0,0.173828125,0,1.27E-02,4.20E-04
0,0.3,169,1.74E-02,0.98828125,0,0.178710938,0,-3.55E-03,3.83E-04
0,0.35,169,1.75E-02,0.993164063,0,0.169921875,0,-3.26E-03,3.87E-04
0,0.4,169,1.74E-02,0.987304688,0,0.2109375,0,-1.25E-02,3.36E-04
0,0.45,169,1.75E-02,0.98046875,0,0.206054688,0,-3.57E-03,3.76E-04
0,0.5,169,1.74E-02,0.966796875,0,0.266601563,0,-1.54E-02,4.05E-04
0,0.55,169,1.75E-02,0.970703125,0,0.305664063,0,-5.46E-03,5.28E-04
0,0.6,218,3.67E-02,0.982782422,8.26E-04,0.144119141,1.68E-03,-4.35E-03,4.22E-04
0.01,0.05,169,1.74E-02,0.987304688,0,0.166015625,0,2.07E-02,7.58E-04
0.01,0.1,169,1.74E-02,0.990234375,0,0.140625,0,1.74E-02,5.15E-04
0.01,0.15,169,1.74E-02,0.990234375,0,0.16015625,0,1.18E-02,4.48E-04
0.01,0.2,169,1.75E-02,0.990234375,0,0.172851563,0,2.68E-02,3.44E-04
0.01,0.25,169,1.74E-02,0.984375,0,0.169921875,0,1.30E-02,4.46E-04
0.01,0.3,169,1.74E-02,0.979492188,0,0.194335938,0,1.35E-02,5.51E-04
0.01,0.35,169,1.74E-02,0.985351563,0,0.201171875,0,2.54E-02,4.30E-04
0.01,0.4,169,1.74E-02,0.985351563,0,0.213867188,0,2.34E-02,3.55E-04
0.01,0.45,169,1.74E-02,0.96875,0,0.244140625,0,4.02E-02,4.70E-04
0.01,0.5,169,1.74E-02,0.95703125,0,0.297851563,0,5.19E-02,3.53E-04
0.01,0.55,169,1.74E-02,0.979492188,0,0.252929688,0,3.71E-02,3.63E-04
0.01,0.6,218,3.66E-02,0.976135938,7.36E-04,0.168122656,1.01E-03,3.73E-02,3.87E-04
0.02,0.05,169,1.74E-02,0.990234375,0,0.141601563,0,5.57E-02,5.23E-04
